Subject,Description,Section,Days,Start_Time,End_Time,Room (Capacity),Enrollment_Cap,Instructor,Session,Units
BUAI,BUAI 432 - Operations Analytics: Stochastic,*100-LEC(1392),Tue,8:30AM,11:15AM,To Be Announced,51,"Alireza Fallahtafti
Staff",Regular,3
OPRE,OPRE 332A - Spreadsheet and Business Process Simulation - I,*100-LEC(1409),Tue,3:00PM,5:45PM,PBL 401,5 (54),"Alireza Fallahtafti
Mathur,Kamlesh",Dyn Dt,1.5
OPRE,OPRE 432A - Spreadsheet and Business Process Simulation - I,*100-LEC(1382),Tue,3:00PM,5:45PM,PBL 401,"5 per Kamlesh 
11 (54)","Alireza Fallahtafti
Mathur,Kamlesh",Dyn Dt,1.5
SCMG,SCMG 432A - Spreadsheet and Business Process Simulation - I,*100-LEC(1380),Tue,3:00PM,5:45PM,PBL 401,"22 per Kamlesh
38 (54)","Alireza Fallahtafti
Mathur,Kamlesh",Dyn Dt,1.5
OPRE,OPRE 332B - Spreadsheet and Business Process Simulation - II,*100-LEC(1410),Tue,3:00PM,5:45PM,PBL 401,5 (54),"Fallahtafti,Alireza",Dyn Dt,1.5
OPRE,OPRE 432B - Spreadsheet and Business Process Simulation - II,*100-LEC(1383),Tue,3:00PM,5:45PM,PBL 401,"5 per Kamlesh 
11 (54)","Fallahtafti,Alireza",Dyn Dt,1.5
SCMG,SCMG 432B - Spreadsheet and Business Process Simulation - II,*100-LEC(1381),Tue,3:00PM,5:45PM,PBL 401,"22 per Kamlesh
38 (54)","Fallahtafti,Alireza",Dyn Dt,1.5
BUAI,BUAI 445 - Advanced Marketing Analytics,*100-LEC(1393),Wed,2:15PM,5:00PM,PBL 03,48  57,"Niraj,Rakesh Kumar",Regular,3
BUAI,BUAI 445 - Advanced Marketing Analytics,*100-LEC(1393),Wed,3:00PM,5:45PM,PBL 03,48  57,"Niraj,Rakesh Kumar",Regular,3
BUAI,BUAI 485B - Team Development,*100-SEM(1394),Thu,3:00PM,5:45PM,PBL 501,50   49,"Messer,Tracey Eira",Dyn Dt,1.5
DESN,"DESN 302 - Creativity in Design & Business: Sources of Perception, Imagination, & Creative Thinking",*100-LEC(1510),"Tue,Thu",2:30PM,3:45PM,PBL 03,45,"Gilmore,James Haydn",Regular,3
DESN,DESN 318 - Entrepreneurship Through Acquisition II,*100-LEC(1537),Tue,6:00PM,8:30PM,PBL 106,"20 (40)
20 (58)","King,GJ",Dyn Dt,1.5
DESN,DESN 420 - Entrepreneurship Through Acquisition II,*100-LEC(1478),Tue,6:00PM,8:30PM,PBL 106,"20 (40)
38 (58)","King,GJ",Dyn Dt,1.5
DESN,DESN 319 - Entrepreneurship Through Acquisition III,*100-LEC(1543),Tue,6:00PM,8:30PM,PBL 106,"20 (40)
20 (58)","Lowry,Scot",Dyn Dt,1.5
DESN,DESN 419 - Entrepreneurship Through Acquisition III,*100-LEC(1523),Tue,6:00PM,8:30PM,PBL 106,"20 (40)
38 (58)","Lowry,Scot",Dyn Dt,1.5
DESN,DESN 320 - Database Management,*100-LEC(1490),Tue,4:00PM,6:30PM,PBL 04,45   49,"Dangelo,Mark",Regular,3
,DESN 322 - Designing the User Experience,100-LEC(10219),"Tue,Thu",11:30AM,12:45PM,PBL 04,49.0,"Misconish Edwards, Sara",,3.0
,DESN 494 - Managerial Consultancy,,Mon,7:45PM,9:00PM,,,,,3.0
ECON,ECON 102 - Principles of Microeconomics,*100-LEC(1345),"Mon,Wed",10:35AM,11:50AM,PBL 201,60,"Ernest PhD,Jonathan Orry",Regular,3
ECON,ECON 102 - Principles of Microeconomics,*100-LEC(1345),"Mon,Wed,Fri",10:35AM,11:25AM,PBL 201,60,"Ernest PhD,Jonathan Orry",Regular,3
ECON,ECON 102 - Principles of Microeconomics,*101-LEC(1346),"Mon,Wed,Fri",2:15PM,3:05PM,PBL 201,60   65,"Ernest PhD,Jonathan Orry",Regular,3
ECON,ECON 102 - Principles of Microeconomics,"
*103-LEC(1429)","Tue,Thu",2:30PM,3:45PM,PBL 202,60   62,"Wolcowitz, Jeffrey
Hawkins,Jenny Rae",Regular,3
ECON,ECON 103 - Principles of Macroeconomics,*100-LEC(1348),"Mon,Wed",3:20PM,4:35PM,PBL 201,60   68,"Lussier,Martine",Regular,3
ECON,ECON 103 - Principles of Macroeconomics,*101-LEC(1349),"Tue,Thu",8:30AM,9:45AM,PBL 202,60   50,"Wang,Sining",Regular,3
ECON,ECON 103 - Principles of Macroeconomics,*103-LEC(1467),"Tue,Thu",2:30PM,3:45PM,PBL 201,60   68,"Hammack,Peter",Regular,3
ECON,ECON 103 - Principles of Macroeconomics,*104-LEC(1491),"Mon,Wed",12:45PM,2:00PM,PBL 203,60   62,"Wang, Sining
Lussier,Martine",Regular,3
ECON,ECON 216 - Data Visualization in R,*100-LEC(1333),"Tue,Thu",10:00AM,11:15AM,PBL 106,50,"Clingingsmith,David L",Regular,3
ECON,ECON 216 - Data Visualization in R,*100-LEC(1333),"Tue,Thu",8:30AM,9:45AM,PBL 106,50,"Clingingsmith,David L",Regular,3
ECON,ECON 307 - Intermediate Macro Theory,*100-LEC(1350),"Mon,Wed,Fri",10:35AM,11:25AM,PBL 106,50   51,"Lussier,Martine",Regular,3
ECON,ECON 307 - Intermediate Macro Theory,*101-LEC(1351),"Mon,Wed,Fri",11:40AM,12:30PM,"PBL 106
No Room at this time",51,"Lussier, Martine
Smith,Dominic",Regular,3
ECON,ECON 307 - Intermediate Macro Theory,*101-LEC(1351),"Mon,Wed",3:20PM,4:35PM,"PBL 106
No Room at this time",51,"Lussier, Martine
Smith,Dominic",Regular,3
ECON,ECON 309 - Intermediate Micro Theory: Calculus-Based,*100-LEC(1352),"Tue,Thu",11:30AM,12:45PM,PBL 258,40,"Xiong,Heyu",Regular,3
ECON,ECON 326 - Econometrics,*100-LEC(1353),"Mon,Wed",3:20PM,4:35PM,PBL 07,56,"Votruba,Mark",Regular,4
ECON,ECON 326 - Econometrics,*110-LAB(1354),Mon,2:15PM,3:05PM,PBL 07,28,"Votruba,Mark",Regular,4
ECON,ECON 326 - Econometrics,*111-LAB(1355),Mon,4:50PM,5:40PM,PBL 07,28,"Votruba,Mark",Regular,4
ECON,ECON 327 - Advanced Econometrics,*100-LEC(1356),"Tue,Thu",11:30AM,12:45PM,PBL 07,"45 (50)
45 (49)","Shoag,Daniel Warren",Regular,3
ECON,ECON 427 - Advanced Econometrics,*100-LEC(1428),"Tue,Thu",11:30AM,12:45PM,PBL 07,"5 (50)
4 (49)","Shoag,Daniel Warren",Regular,3
ECON,ECON 329 - Game Theory: The Economics of Thinking Strategically,*100-LEC(1468),"Tue,Thu",8:30AM,9:45AM,PBL 106,"55 (60)
54 (58)","Sheremeta,Roman M",Regular,3
ECON,ECON 429 - Game Theory: The Economics of Thinking Strategically,*100-LEC(1469),"Tue,Thu",8:30AM,9:45AM,PBL 106,"5 (60) 
4 (58)","Sheremeta,Roman M",Regular,3
ECON,"ECON 332 - Labor Economics: Theory, Data, and Policy",*100-LEC(1512),"Tue,Thu",10:00AM,11:15AM,"PBL 04   
PBL 05","50
18   40","Schweitzer,Mark Edward",Regular,3
ECON,ECON 342 - Public Finance,*100-LEC(1471),"Tue,Thu",2:30PM,3:45PM,PBL 258,55,"Shoag,Daniel Warren",Regular,3
ECON,ECON 364 - Economic Analysis of Business Strategies,*100-LEC(1430),"Mon,Wed",9:00AM,10:15AM,PBL 201,50   68,"Ernest PhD,Jonathan Orry",Regular,3
